OrderID,OrderLine,OrderDate,ProductID,Quantity,UnitPrice,DiscountPct,GrossSales,DiscountAmount,Revenue,COGS,ShippingCost,VariableSalesCost,TotalCost,Profit,CustomerSegment,SalesChannel
SO-202501-000040,1,2025-01-27,1035,3,22.02,0.0350,66.07,2.31,63.75,32.03,7.10,4.59,43.72,20.03,Small Business,Direct Sales
SO-202501-000041,1,2025-01-28,1046,1,127.20,0.0388,127.20,4.94,122.27,79.00,5.10,6.72,90.82,31.44,Small Business,Online
SO-202501-000041,2,2025-01-28,1038,1,49.34,0.0304,49.34,1.50,47.84,24.05,5.10,2.63,31.78,16.06,Small Business,Online
SO-202501-000042,1,2025-01-22,1025,1,33.65,0.0447,33.65,1.50,32.14,18.65,5.70,2.31,26.66,5.48,Small Business,Direct Sales
SO-202501-000042,2,2025-01-22,1031,3,138.67,0.0328,416.01,13.64,402.37,259.05,7.10,28.97,295.12,107.24,Small Business,Direct Sales
SO-202501-000042,3,2025-01-22,1006,1,189.28,0.0488,189.28,9.24,180.04,126.08,8.70,12.96,147.74,32.30,Small Business,Direct Sales
SO-202501-000043,1,2025-01-29,1033,1,39.48,0.0524,39.48,2.07,37.41,20.06,5.70,2.69,28.45,8.96,Mid-Market,Direct Sales
SO-202501-000044,1,2025-01-18,1032,2,119.14,0.0524,238.27,12.48,225.79,141.12,6.40,12.42,159.94,65.86,Mid-Market,Online
SO-202501-000044,2,2025-01-18,1040,1,78.70,0.0529,78.70,4.16,74.54,41.22,5.10,4.10,50.42,24.12,Mid-Market,Online
SO-202501-000045,1,2025-01-12,1044,1,18.93,0.0500,18.93,0.95,17.99,8.03,5.10,1.30,14.43,3.56,Mid-Market,Direct Sales
SO-202501-000045,2,2025-01-12,1012,3,220.68,0.0664,662.04,43.93,618.12,404.19,11.10,44.50,459.79,158.33,Mid-Market,Direct Sales
SO-202501-000046,1,2025-01-16,1036,5,31.44,0.0424,157.19,6.67,150.52,77.75,6.38,9.78,93.90,56.61,Small Business,Partner
SO-202501-000047,1,2025-01-08,1034,3,156.81,0.0302,470.42,14.22,456.20,287.93,7.10,32.85,327.87,128.33,Small Business,Direct Sales
SO-202501-000048,1,2025-01-22,1026,10,26.74,0.0686,267.43,18.35,249.08,140.89,12.00,17.93,170.83,78.25,Mid-Market,Direct Sales
SO-202501-000049,1,2025-01-01,1029,1,74.55,0.0593,74.55,4.42,70.12,45.22,5.70,3.86,54.78,15.35,Mid-Market,Online
SO-202501-000049,2,2025-01-01,1005,1,324.94,0.0472,324.94,15.34,309.60,224.37,8.70,17.03,250.09,59.51,Mid-Market,Online
SO-202501-000049,3,2025-01-01,1008,1,595.77,0.0452,595.77,26.95,568.82,440.29,8.70,31.28,480.27,88.54,Mid-Market,Online
SO-202501-000050,1,2025-01-23,1046,2,127.19,0.0498,254.38,12.66,241.72,157.79,5.70,17.40,180.90,60.82,Mid-Market,Direct Sales
SO-202501-000050,2,2025-01-23,1048,2,34.34,0.0547,68.69,3.75,64.93,30.78,5.70,4.68,41.16,23.77,Mid-Market,Direct Sales
SO-202501-000051,1,2025-01-05,1027,8,87.98,0.0378,703.84,26.62,677.22,457.41,7.95,44.02,509.38,167.84,Small Business,Partner
SO-202501-000052,1,2025-01-20,1003,1,844.65,0.0491,844.65,41.49,803.15,630.33,8.70,44.17,683.21,119.95,Mid-Market,Online
SO-202501-000052,2,2025-01-20,1027,10,87.94,0.0457,879.39,40.15,839.24,573.46,12.00,46.16,631.61,207.62,Mid-Market,Online
SO-202501-000053,1,2025-01-12,1045,2,39.27,0.0409,78.54,3.21,75.33,36.14,5.70,4.14,45.98,29.35,Small Business,Online
SO-202501-000054,1,2025-01-14,1035,5,21.91,0.0364,109.56,3.99,105.58,53.08,6.38,6.86,66.32,39.26,Small Business,Partner
SO-202501-000054,2,2025-01-14,1006,1,186.35,0.0395,186.35,7.36,178.99,124.72,6.52,11.63,142.88,36.11,Small Business,Partner
SO-202501-000055,1,2025-01-23,1022,1,158.86,0.0234,158.86,3.72,155.14,95.46,24.50,8.53,128.49,26.65,Small Business,Online
SO-202501-000056,1,2025-01-23,1039,2,88.55,0.0538,177.10,9.52,167.57,96.40,5.70,9.22,111.31,56.26,Mid-Market,Online
SO-202501-000057,1,2025-01-30,1036,10,31.38,0.0404,313.78,12.69,301.09,155.07,12.00,21.68,188.75,112.34,Small Business,Direct Sales
SO-202501-000058,1,2025-01-19,1008,2,598.00,0.0604,1195.99,72.25,1123.74,879.20,9.90,80.91,970.01,153.74,Mid-Market,Direct Sales
SO-202501-000059,1,2025-01-25,1035,10,22.05,0.0470,220.55,10.38,210.17,105.73,9.00,13.66,128.39,81.78,Small Business,Partner
SO-202501-000060,1,2025-01-23,1025,10,34.30,0.0492,343.04,16.86,326.18,186.57,12.00,17.94,216.51,109.67,Mid-Market,Online
SO-202501-000061,1,2025-01-09,1007,2,545.86,0.0673,1091.71,73.45,1018.26,767.26,9.90,73.31,850.48,167.78,Mid-Market,Direct Sales
SO-202501-000062,1,2025-01-15,1026,1,26.79,0.0276,26.79,0.74,26.05,13.99,5.70,1.43,21.12,4.93,Small Business,Online
SO-202501-000063,1,2025-01-30,1031,2,137.34,0.0596,274.68,16.37,258.31,172.19,6.40,14.21,192.80,65.51,Mid-Market,Online
SO-202501-000063,2,2025-01-30,1017,1,945.26,0.0488,945.26,46.13,899.14,680.13,24.50,49.45,754.08,145.06,Mid-Market,Online
SO-202501-000063,3,2025-01-30,1029,5,73.24,0.0525,366.22,19.24,346.99,225.31,8.50,19.08,252.89,94.09,Mid-Market,Online
SO-202501-000064,1,2025-01-10,1044,5,18.83,0.0586,94.14,5.52,88.62,39.86,7.50,6.38,53.74,34.88,Mid-Market,Direct Sales
SO-202501-000065,1,2025-01-29,1030,5,29.37,0.0489,146.85,7.18,139.67,72.82,8.50,7.68,89.00,50.67,Mid-Market,Online
SO-202501-000066,1,2025-01-26,1038,1,49.09,0.0329,49.09,1.61,47.48,24.28,5.10,3.42,32.80,14.68,Small Business,Direct Sales
SO-202501-000066,2,2025-01-26,1037,1,42.27,0.0290,42.27,1.23,41.04,22.34,5.70,2.95,31.00,10.04,Small Business,Direct Sales
SO-202501-000067,1,2025-01-16,1027,5,89.37,0.0231,446.83,10.33,436.50,284.99,8.50,24.01,317.50,119.00,Small Business,Online
SO-202501-000068,1,2025-01-15,1037,5,42.60,0.0931,212.99,19.83,193.16,112.07,7.48,15.07,134.62,58.54,Enterprise,Direct Sales
SO-202501-000068,2,2025-01-15,1018,1,178.18,0.0903,178.18,16.10,162.08,111.27,21.56,12.64,145.47,16.61,Enterprise,Direct Sales
SO-202501-000068,3,2025-01-15,1003,2,854.63,0.0886,1709.26,151.49,1557.78,1267.67,8.71,121.51,1397.89,159.89,Enterprise,Direct Sales
SO-202501-000069,1,2025-01-22,1026,4,27.27,0.0684,109.09,7.46,101.63,56.26,7.80,7.32,71.37,30.25,Mid-Market,Direct Sales
SO-202501-000070,1,2025-01-23,1018,1,177.55,0.0482,177.55,8.55,168.99,111.07,24.50,12.17,147.74,21.25,Small Business,Direct Sales
SO-202501-000070,2,2025-01-23,1044,5,18.72,0.0373,93.59,3.49,90.10,40.01,7.50,6.49,54.00,36.10,Small Business,Direct Sales
SO-202501-000071,1,2025-01-22,1018,1,179.82,0.0235,179.82,4.23,175.60,111.43,24.50,9.66,145.58,30.01,Small Business,Online
SO-202501-000072,1,2025-01-06,1006,1,190.60,0.0615,190.60,11.73,178.87,125.80,8.70,12.88,147.38,31.49,Mid-Market,Direct Sales
SO-202501-000073,1,2025-01-03,1013,1,637.76,0.0331,637.76,21.12,616.65,437.49,24.50,44.40,506.39,110.26,Small Business,Direct Sales
SO-202501-000073,2,2025-01-03,1030,1,28.77,0.0372,28.77,1.07,27.70,14.53,5.70,1.99,22.23,5.47,Small Business,Direct Sales
SO-202501-000073,3,2025-01-03,1006,2,189.69,0.0407,379.37,15.43,363.94,251.56,9.90,26.20,287.67,76.27,Small Business,Direct Sales
SO-202501-000074,1,2025-01-28,1038,2,48.97,0.0338,97.94,3.31,94.63,48.02,5.70,5.20,58.92,35.71,Small Business,Online
SO-202501-000075,1,2025-01-30,1030,2,28.73,0.0416,57.46,2.39,55.07,29.11,6.40,3.97,39.48,15.60,Small Business,Direct Sales
SO-202501-000075,2,2025-01-30,1011,1,1098.03,0.0300,1098.03,32.96,1065.07,820.52,8.70,76.69,905.90,159.17,Small Business,Direct Sales
SO-202501-000076,1,2025-01-11,1037,1,41.92,0.0212,41.92,0.89,41.03,22.43,5.70,2.26,30.39,10.64,Small Business,Online
SO-202501-000076,2,2025-01-11,1022,1,159.71,0.0286,159.71,4.57,155.14,96.10,24.50,8.53,129.13,26.01,Small Business,Online
SO-202501-000077,1,2025-01-24,1050,3,17.07,0.0254,51.22,1.30,49.92,20.50,6.30,2.75,29.55,20.37,Small Business,Online
SO-202501-000078,1,2025-01-10,1034,2,159.60,0.0281,319.20,8.98,310.23,191.74,6.40,17.06,215.20,95.02,Small Business,Online
SO-202501-000078,2,2025-01-10,1006,1,186.92,0.0341,186.92,6.37,180.55,125.69,8.70,9.93,144.32,36.23,Small Business,Online
SO-202501-000079,1,2025-01-22,1001,1,1286.18,0.0405,1286.18,52.11,1234.08,986.70,8.70,88.85,1084.26,149.82,Small Business,Direct Sales
SO-202501-000080,1,2025-01-14,1049,1,100.40,0.0400,100.40,4.02,96.38,53.83,5.10,6.94,65.87,30.50,Small Business,Direct Sales
SO-202501-000081,1,2025-01-29,1006,1,189.98,0.0437,189.98,8.31,181.67,126.16,6.52,11.81,144.49,37.17,Small Business,Partner
SO-202501-000082,1,2025-01-03,1046,3,128.70,0.0472,386.11,18.22,367.89,236.33,6.30,20.23,262.86,105.03,Mid-Market,Online
SO-202501-000082,2,2025-01-03,1044,1,19.15,0.0541,19.15,1.04,18.11,8.05,5.10,1.00,14.14,3.97,Mid-Market,Online
SO-202501-000083,1,2025-01-26,1038,1,49.32,0.0421,49.32,2.08,47.24,24.03,5.10,2.60,31.73,15.52,Mid-Market,Online
SO-202501-000084,1,2025-01-07,1006,1,190.09,0.0812,190.09,15.43,174.66,125.17,7.66,10.65,143.48,31.18,Enterprise,Online
SO-202501-000084,2,2025-01-07,1037,6,41.51,0.0664,249.04,16.54,232.51,134.58,8.10,14.18,156.86,75.65,Enterprise,Online
SO-202501-000085,1,2025-01-28,1035,2,21.78,0.0992,43.56,4.32,39.24,21.11,4.22,2.79,28.12,11.12,Enterprise,Partner
SO-202501-000086,1,2025-01-20,1024,4,117.63,0.0313,470.51,14.73,455.78,266.64,35.00,25.07,326.71,129.07,Small Business,Online
SO-202501-000087,1,2025-01-26,1045,2,39.02,0.0324,78.04,2.53,75.51,36.22,5.70,5.44,47.36,28.15,Small Business,Direct Sales
SO-202501-000088,1,2025-01-30,1025,5,34.34,0.0492,171.72,8.45,163.26,93.79,8.50,11.76,114.04,49.22,Mid-Market,Direct Sales
SO-202501-000089,1,2025-01-07,1006,1,191.62,0.0630,191.62,12.07,179.55,124.44,8.70,12.93,146.07,33.48,Mid-Market,Direct Sales
SO-202501-000089,2,2025-01-07,1048,2,34.13,0.0597,68.25,4.08,64.17,30.81,5.70,4.62,41.13,23.04,Mid-Market,Direct Sales
SO-202501-000090,1,2025-01-28,1001,2,1282.52,0.0440,2565.05,112.97,2452.08,1989.08,7.43,159.39,2155.89,296.19,Small Business,Partner
SO-202501-000090,2,2025-01-28,1027,1,89.45,0.0522,89.45,4.67,84.78,57.63,4.28,5.51,67.42,17.36,Small Business,Partner
SO-202501-000091,1,2025-01-30,1049,4,99.39,0.0661,397.58,26.29,371.28,214.86,6.90,26.73,248.49,122.79,Mid-Market,Direct Sales
SO-202501-000092,1,2025-01-10,1025,3,34.37,0.0368,103.12,3.79,99.32,56.04,7.10,7.15,70.29,29.03,Small Business,Direct Sales
SO-202501-000092,2,2025-01-10,1027,5,89.09,0.0479,445.45,21.32,424.12,286.61,8.50,30.54,325.65,98.47,Small Business,Direct Sales
SO-202501-000093,1,2025-01-18,1008,1,605.94,0.0501,605.94,30.33,575.61,440.07,8.70,41.44,490.22,85.39,Mid-Market,Direct Sales
SO-202501-000093,2,2025-01-18,1037,8,41.72,0.0646,333.72,21.57,312.15,177.45,10.60,22.47,210.52,101.63,Mid-Market,Direct Sales
SO-202501-000094,1,2025-01-20,1042,1,150.67,0.0885,150.67,13.33,137.34,87.29,4.49,10.71,102.49,34.85,Enterprise,Direct Sales
SO-202501-000094,2,2025-01-20,1029,12,74.81,0.0769,897.68,69.04,828.63,543.22,11.79,64.63,619.65,208.98,Enterprise,Direct Sales
SO-202501-000095,1,2025-01-18,1030,5,28.68,0.0241,143.40,3.45,139.95,72.24,8.50,7.70,88.43,51.51,Small Business,Online
SO-202501-000096,1,2025-01-12,1004,1,1783.99,0.0746,1783.99,133.07,1650.93,1415.62,7.66,100.71,1523.98,126.95,Enterprise,Online
SO-202501-000096,2,2025-01-12,1022,2,157.74,0.0864,315.48,27.25,288.24,191.28,24.64,17.58,233.50,54.73,Enterprise,Online
SO-202501-000097,1,2025-01-01,1049,3,99.22,0.0693,297.66,20.61,277.05,160.83,5.54,16.90,183.28,93.77,Enterprise,Online
SO-202501-000097,2,2025-01-01,1010,2,658.01,0.0772,1316.01,101.57,1214.45,938.59,8.71,74.08,1021.38,193.06,Enterprise,Online
SO-202501-000097,3,2025-01-01,1030,2,28.97,0.0755,57.94,4.38,53.56,29.26,5.63,3.27,38.16,15.40,Enterprise,Online
SO-202501-000098,1,2025-01-31,1036,1,31.32,0.0685,31.32,2.15,29.17,15.58,5.70,2.10,23.38,5.79,Mid-Market,Direct Sales
SO-202501-000099,1,2025-01-07,1030,2,29.25,0.0760,58.50,4.45,54.05,29.05,5.63,3.30,37.98,16.07,Enterprise,Online
SO-202501-000100,1,2025-01-05,1033,8,39.35,0.0369,314.83,11.63,303.21,160.50,10.60,16.68,187.77,115.43,Small Business,Online
SO-202501-000100,2,2025-01-05,1027,1,88.21,0.0348,88.21,3.07,85.14,56.70,5.70,4.68,67.08,18.06,Small Business,Online
SO-202501-000100,3,2025-01-05,1024,1,117.34,0.0387,117.34,4.54,112.80,67.11,24.50,6.20,97.81,14.99,Small Business,Online
SO-202501-000101,1,2025-01-29,1026,3,27.05,0.0603,81.16,4.89,76.27,42.16,7.10,5.49,54.75,21.52,Mid-Market,Direct Sales
SO-202501-000101,2,2025-01-29,1034,4,160.47,0.0587,641.90,37.67,604.23,384.51,7.80,43.50,435.82,168.41,Mid-Market,Direct Sales
SO-202501-000101,3,2025-01-29,1005,2,331.44,0.0511,662.88,33.88,629.00,445.99,9.90,45.29,501.17,127.82,Mid-Market,Direct Sales
SO-202501-000102,1,2025-01-10,1016,4,221.55,0.0526,886.21,46.65,839.56,552.38,35.00,46.18,633.56,206.00,Mid-Market,Online
SO-202501-000103,1,2025-01-10,1047,5,79.41,0.0880,397.04,34.93,362.10,223.48,4.95,25.71,254.14,107.96,Enterprise,Partner
SO-202501-000103,2,2025-01-10,1010,1,642.65,0.0943,642.65,60.63,582.02,472.35,5.74,41.32,519.42,62.60,Enterprise,Partner
SO-202501-000103,3,2025-01-10,1020,2,325.67,0.0918,651.33,59.79,591.55,429.35,18.48,42.00,489.83,101.72,Enterprise,Partner
SO-202501-000104,1,2025-01-28,1001,1,1307.93,0.0608,1307.93,79.46,1228.47,997.53,8.70,67.57,1073.79,154.68,Mid-Market,Online
SO-202501-000105,1,2025-01-18,1045,2,38.47,0.0332,76.93,2.56,74.38,36.24,5.70,5.36,47.29,27.08,Small Business,Direct Sales
SO-202501-000105,2,2025-01-18,1027,2,88.17,0.0444,176.35,7.84,168.51,115.16,6.40,12.13,133.69,34.82,Small Business,Direct Sales
SO-202501-000106,1,2025-01-15,1025,3,33.52,0.0756,100.57,7.60,92.97,56.67,6.25,5.67,68.59,24.37,Enterprise,Online
SO-202501-000107,1,2025-01-12,1049,5,97.65,0.0541,488.27,26.41,461.86,268.83,7.50,25.40,301.73,160.13,Mid-Market,Online
SO-202501-000107,2,2025-01-12,1036,2,30.71,0.0554,61.42,3.41,58.02,31.33,6.40,3.19,40.92,17.10,Mid-Market,Online
SO-202501-000108,1,2025-01-24,1044,2,19.21,0.0471,38.42,1.81,36.61,16.01,5.70,2.01,23.73,12.89,Mid-Market,Online
SO-202501-000108,2,2025-01-24,1036,3,30.87,0.0509,92.60,4.71,87.89,46.94,7.10,4.83,58.88,29.01,Mid-Market,Online
SO-202501-000109,1,2025-01-19,1011,3,1112.64,0.0415,3337.91,138.56,3199.35,2439.49,11.10,175.96,2626.55,572.80,Mid-Market,Online
SO-202501-000110,1,2025-01-04,1027,1,89.79,0.0388,89.79,3.48,86.30,57.02,5.70,4.75,67.47,18.84,Small Business,Online
SO-202501-000111,1,2025-01-14,1006,1,189.09,0.0547,189.09,10.34,178.75,124.24,6.52,11.62,142.39,36.36,Small Business,Partner
SO-202501-000112,1,2025-01-07,1012,4,220.83,0.0454,883.32,40.11,843.21,532.02,12.30,46.38,590.69,252.52,Mid-Market,Online
SO-202501-000113,1,2025-01-24,1014,3,789.98,0.0710,2369.94,168.26,2201.68,1718.46,27.72,134.30,1880.48,321.19,Enterprise,Online
SO-202501-000113,2,2025-01-24,1050,1,17.06,0.0727,17.06,1.24,15.82,6.84,4.49,0.96,12.30,3.52,Enterprise,Online
SO-202501-000114,1,2025-01-25,1003,1,836.72,0.0556,836.72,46.49,790.23,634.10,8.70,56.90,699.69,90.54,Mid-Market,Direct Sales
SO-202501-000115,1,2025-01-07,1044,1,19.16,0.0467,19.16,0.89,18.27,8.01,5.10,1.32,14.42,3.84,Small Business,Direct Sales
SO-202501-000115,2,2025-01-07,1038,2,49.68,0.0294,99.36,2.93,96.43,48.53,5.70,6.94,61.17,35.26,Small Business,Direct Sales
SO-202501-000116,1,2025-01-12,1020,2,332.22,0.0484,664.43,32.16,632.27,426.16,28.00,34.77,488.94,143.33,Mid-Market,Online
SO-202501-000117,1,2025-01-17,1050,2,17.20,0.0241,34.41,0.83,33.58,13.63,5.70,1.85,21.17,12.41,Small Business,Online
SO-202501-000117,2,2025-01-17,1046,2,128.26,0.0370,256.52,9.48,247.04,159.04,5.70,13.59,178.33,68.71,Small Business,Online
SO-202501-000118,1,2025-01-17,1025,2,33.70,0.0417,67.39,2.81,64.58,37.35,6.40,3.55,47.30,17.28,Mid-Market,Online
SO-202501-000119,1,2025-01-18,1042,1,150.15,0.0449,150.15,6.74,143.41,86.48,3.82,9.32,99.62,43.79,Small Business,Partner
SO-202501-000119,2,2025-01-18,1001,1,1299.65,0.0422,1299.65,54.82,1244.83,997.31,6.52,80.91,1084.75,160.08,Small Business,Partner
SO-202501-000119,3,2025-01-18,1025,8,34.25,0.0383,274.02,10.51,263.51,150.30,7.95,17.13,175.37,88.14,Small Business,Partner
SO-202501-000120,1,2025-01-12,1037,3,41.48,0.0836,124.43,10.41,114.03,66.61,6.25,6.96,79.81,34.22,Enterprise,Online
SO-202501-000120,2,2025-01-12,1040,3,77.93,0.0677,233.79,15.83,217.96,123.92,5.54,13.30,142.76,75.20,Enterprise,Online
SO-202501-000121,1,2025-01-26,1036,4,31.38,0.0540,125.52,6.78,118.73,61.81,7.80,8.55,78.16,40.57,Mid-Market,Direct Sales
SO-202501-000122,1,2025-01-02,1024,1,118.55,0.0397,118.55,4.71,113.84,66.78,24.50,8.20,99.48,14.36,Small Business,Direct Sales
SO-202501-000123,1,2025-01-15,1015,2,427.98,0.0275,855.97,23.52,832.45,575.67,28.00,45.78,649.45,183.00,Small Business,Online
