ProductID,ProductCode,ProductName,Category,Subcategory,Brand,ListPrice,BaseUnitCost,LaunchDate,Status
1040,PRD-1040,USB-C Hub 8-in-1,Accessories,Connectivity,LinkCore,79.00,41.08,2024-03-01,Active
1041,PRD-1041,Webcam 1080p,Accessories,Audio & Video,LinkCore,69.00,34.50,2024-01-01,Active
1042,PRD-1042,Noise-Canceling Headset,Accessories,Audio & Video,SoundPeak,149.00,86.42,2024-04-01,Active
1043,PRD-1043,Laptop Stand,Accessories,Mobile & Storage,WorkForm,59.00,27.73,2024-01-01,Active
1044,PRD-1044,USB-C Cable 2m,Accessories,Connectivity,LinkCore,19.00,7.98,2023-01-01,Active
1045,PRD-1045,Wireless Presenter,Accessories,Input Devices,LinkCore,39.00,17.94,2023-09-01,Active
1046,PRD-1046,Portable SSD 1TB,Accessories,Mobile & Storage,Apex,129.00,78.69,2024-05-01,Active
1047,PRD-1047,Power Bank 20K,Accessories,Mobile & Storage,NovaTech,79.00,44.24,2024-06-01,Active
1048,PRD-1048,Surge Protector,Accessories,Connectivity,LinkCore,34.00,15.30,2023-01-01,Active
1049,PRD-1049,Bluetooth Speaker,Accessories,Audio & Video,SoundPeak,99.00,53.46,2024-05-01,Active
1050,PRD-1050,HDMI Cable 2m,Accessories,Connectivity,LinkCore,17.00,6.80,2023-01-01,Active
